2026-02-02 | REPAYMENT  | ₹77998.00 | Pool: PREPAID  | Credit Card Paid
2026-02-03 | EXPENSE    | ₹1293626.41 | Pool: PREPAID  | 1293626.41
2026-02-03 | INCOME     | ₹1740637.41 | Pool: PREPAID  | Razorpay
2026-02-03 | INCOME     | ₹85832.20 | Pool: PREPAID  | Razorpay
2026-02-03 | WITHDRAWAL | ₹339220.00 | Pool: PREPAID  | 
2026-02-04 | EXPENSE    | ₹  310.00 | Pool: PREPAID  | Office Stationery
2026-02-04 | EXPENSE    | ₹19373.00 | Pool: PREPAID  | Heera Creation
2026-02-04 | INCOME     | ₹53466.55 | Pool: PREPAID  | Razorpay
2026-02-05 | EXPENSE    | ₹ 1040.00 | Pool: PREPAID  | RTC
2026-02-05 | EXPENSE    | ₹ 2625.00 | Pool: PREPAID  | RTC
2026-02-05 | EXPENSE    | ₹13283.00 | Pool: PREPAID  | LadyLook
2026-02-05 | INCOME     | ₹41106.69 | Pool: PREPAID  | Razorpay
2026-02-06 | EXPENSE    | ₹  700.00 | Pool: PREPAID  | Swank
2026-02-06 | EXPENSE    | ₹ 1100.00 | Pool: PREPAID  | Tapi Creation
2026-02-06 | EXPENSE    | ₹ 1103.00 | Pool: PREPAID  | Sai Creation
2026-02-06 | EXPENSE    | ₹ 1200.00 | Pool: PREPAID  | Zoya
2026-02-06 | EXPENSE    | ₹ 1300.00 | Pool: PREPAID  | Maruti Designer
2026-02-06 | EXPENSE    | ₹ 2500.00 | Pool: PREPAID  | Women Wastra
2026-02-06 | EXPENSE    | ₹ 2625.00 | Pool: PREPAID  | Sai Creation
2026-02-06 | EXPENSE    | ₹ 3308.00 | Pool: PREPAID  | Sai Creation
2026-02-06 | EXPENSE    | ₹ 5000.00 | Pool: PREPAID  | Kunjal Omni
2026-02-06 | EXPENSE    | ₹12315.47 | Pool: PREPAID  | Shopify Bill
2026-02-06 | EXPENSE    | ₹21751.15 | Pool: PREPAID  | Shopify Bill
2026-02-06 | INCOME     | ₹40104.41 | Pool: PREPAID  | Razorpay
2026-02-07 | EXPENSE    | ₹  320.00 | Pool: PREPAID  | Office Nasta
2026-02-07 | INCOME     | ₹57151.10 | Pool: PREPAID  | Razorpay
2026-02-08 | EXPENSE    | ₹ 1100.00 | Pool: PREPAID  | HV 
2026-02-08 | EXPENSE    | ₹ 1208.00 | Pool: PREPAID  | 
2026-02-08 | EXPENSE    | ₹ 1260.00 | Pool: PREPAID  | Sai Creation
